locus_tag	ftype	length_bp	gene	EC_number	COG	product
HGLHCLKK_00001	CDS	642				hypothetical protein
HGLHCLKK_00002	CDS	249	dinI_1			DNA damage-inducible protein I
HGLHCLKK_00003	CDS	1098				hypothetical protein
HGLHCLKK_00004	CDS	1038	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
HGLHCLKK_00005	CDS	243	pspG			Phage shock protein G
HGLHCLKK_00006	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
HGLHCLKK_00007	CDS	1416	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
HGLHCLKK_00008	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
HGLHCLKK_00009	CDS	1194	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
HGLHCLKK_00010	CDS	360				hypothetical protein
HGLHCLKK_00011	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
HGLHCLKK_00012	CDS	417				hypothetical protein
HGLHCLKK_00013	CDS	357	yjbR		COG2315	putative protein YjbR
HGLHCLKK_00014	CDS	2823	uvrA		COG0178	UvrABC system protein A
HGLHCLKK_00015	CDS	537	ssb_1		COG0629	Single-stranded DNA-binding protein
HGLHCLKK_00016	CDS	282				hypothetical protein
HGLHCLKK_00017	CDS	1587	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
HGLHCLKK_00018	CDS	324	soxS			Regulatory protein SoxS
HGLHCLKK_00019	CDS	465	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
HGLHCLKK_00020	misc_RNA	141				sraL
HGLHCLKK_00021	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
HGLHCLKK_00022	CDS	1650	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
HGLHCLKK_00023	CDS	1293				hypothetical protein
HGLHCLKK_00024	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
HGLHCLKK_00025	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
HGLHCLKK_00026	misc_RNA	72				naRNA4
HGLHCLKK_00027	CDS	1959	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
HGLHCLKK_00028	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
HGLHCLKK_00029	CDS	567	nrfB			Cytochrome c-type protein NrfB
HGLHCLKK_00030	CDS	672	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
HGLHCLKK_00031	CDS	957				hypothetical protein
HGLHCLKK_00032	CDS	1623	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
HGLHCLKK_00033	CDS	384	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
HGLHCLKK_00034	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
HGLHCLKK_00035	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
HGLHCLKK_00036	misc_RNA	71				naRNA4
HGLHCLKK_00037	CDS	690				hypothetical protein
HGLHCLKK_00038	CDS	1680	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
HGLHCLKK_00039	misc_RNA	55				SECIS_2
HGLHCLKK_00040	CDS	420	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
HGLHCLKK_00041	CDS	1467	cusC_1		COG1538	Cation efflux system protein CusC
HGLHCLKK_00042	CDS	2052	mdtO		COG1289	Multidrug resistance protein MdtO
HGLHCLKK_00043	CDS	1032	mdtN		COG1566	Multidrug resistance protein MdtN
HGLHCLKK_00044	CDS	276				hypothetical protein
HGLHCLKK_00045	CDS	1986	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
HGLHCLKK_00046	CDS	708	ompR_1			Transcriptional regulatory protein OmpR
HGLHCLKK_00047	CDS	1002	RBKS	2.7.1.15		Ribokinase
HGLHCLKK_00048	CDS	861	fbaA_1	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
HGLHCLKK_00049	CDS	684				hypothetical protein
HGLHCLKK_00050	CDS	942	rbsB_1		COG1879	Ribose import binding protein RbsB
HGLHCLKK_00051	CDS	975	rbsC_1		COG1172	Ribose import permease protein RbsC
HGLHCLKK_00052	CDS	480	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HGLHCLKK_00053	CDS	1020	araG_1	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
HGLHCLKK_00054	CDS	2280	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HGLHCLKK_00055	CDS	330				hypothetical protein
HGLHCLKK_00056	CDS	759	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
HGLHCLKK_00057	CDS	426	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
HGLHCLKK_00058	CDS	558	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
HGLHCLKK_00059	CDS	1137	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
HGLHCLKK_00060	CDS	681	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
HGLHCLKK_00061	CDS	759	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
HGLHCLKK_00062	CDS	846	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
HGLHCLKK_00063	CDS	1065	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
HGLHCLKK_00064	CDS	585	phnH	2.7.8.37	COG3625	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
HGLHCLKK_00065	CDS	453	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
HGLHCLKK_00066	CDS	726	phnF		COG2188	putative transcriptional regulator PhnF
HGLHCLKK_00067	CDS	780	phnE		COG3639	Phosphate-import permease protein PhnE
HGLHCLKK_00068	misc_RNA	81				naRNA4
HGLHCLKK_00069	CDS	1017				hypothetical protein
HGLHCLKK_00070	CDS	789	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
HGLHCLKK_00071	CDS	444				hypothetical protein
HGLHCLKK_00072	misc_RNA	77				naRNA4
HGLHCLKK_00073	misc_RNA	77				naRNA4
HGLHCLKK_00074	CDS	336				hypothetical protein
HGLHCLKK_00075	CDS	2229	crfC_1		COG0699	Clamp-binding protein CrfC
HGLHCLKK_00076	CDS	879				hypothetical protein
HGLHCLKK_00077	CDS	1503	proP			Proline/betaine transporter
HGLHCLKK_00078	misc_RNA	166				STnc630
HGLHCLKK_00079	CDS	90				hypothetical protein
HGLHCLKK_00080	CDS	1101	basS	2.7.13.3		Sensor protein BasS
HGLHCLKK_00081	CDS	669	basR			Transcriptional regulatory protein BasR
HGLHCLKK_00082	CDS	1644	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
HGLHCLKK_00083	CDS	1338	adiC		COG0531	Arginine/agmatine antiporter
HGLHCLKK_00084	CDS	762	gadX_1			HTH-type transcriptional regulator GadX
HGLHCLKK_00085	CDS	384	adiA_1	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
HGLHCLKK_00086	CDS	1881	adiA_2	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
HGLHCLKK_00087	CDS	909	melR_1			Melibiose operon regulatory protein
HGLHCLKK_00088	CDS	1356	melA	3.2.1.22	COG1486	Alpha-galactosidase
HGLHCLKK_00089	CDS	1410	melB		COG2211	Melibiose carrier protein
HGLHCLKK_00090	CDS	630	yjdF		COG3647	Inner membrane protein YjdF
HGLHCLKK_00091	CDS	1647	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
HGLHCLKK_00092	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
HGLHCLKK_00093	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
HGLHCLKK_00094	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
HGLHCLKK_00095	CDS	231				hypothetical protein
HGLHCLKK_00096	CDS	273	yjdJ		COG2388	putative protein YjdJ
HGLHCLKK_00097	CDS	297	ghoS	3.1.-.-		Endoribonuclease antitoxin GhoS
HGLHCLKK_00098	CDS	174	ghoT			Toxin GhoT
HGLHCLKK_00099	CDS	1545	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
HGLHCLKK_00100	CDS	1458	dtpC		COG3104	Dipeptide and tripeptide permease C
HGLHCLKK_00101	CDS	2148	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
HGLHCLKK_00102	CDS	1335	cadB		COG0531	putative cadaverine/lysine antiporter
HGLHCLKK_00103	CDS	1539	cadC		COG3710	Transcriptional activator CadC
HGLHCLKK_00104	tRNA	76				tRNA-Phe(gaa)
HGLHCLKK_00105	CDS	576				hypothetical protein
HGLHCLKK_00106	CDS	1698	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
HGLHCLKK_00107	CDS	339	cutA		COG1324	Divalent-cation tolerance protein CutA
