locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCMHGFIA_00001	CDS	576	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
LCMHGFIA_00002	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
LCMHGFIA_00003	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
LCMHGFIA_00004	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
LCMHGFIA_00005	CDS	405	rcsF			Outer membrane lipoprotein RcsF
LCMHGFIA_00006	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
LCMHGFIA_00007	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
LCMHGFIA_00008	CDS	825				hypothetical protein
LCMHGFIA_00009	misc_RNA	77				naRNA4
LCMHGFIA_00010	CDS	711	nlpE		COG3015	Lipoprotein NlpE
LCMHGFIA_00011	CDS	411	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
LCMHGFIA_00012	CDS	546	yaeQ		COG4681	putative protein YaeQ
LCMHGFIA_00013	CDS	201				hypothetical protein
LCMHGFIA_00014	CDS	261	rof		COG4568	Protein rof
LCMHGFIA_00015	CDS	1296	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
LCMHGFIA_00016	CDS	390				hypothetical protein
LCMHGFIA_00017	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
LCMHGFIA_00018	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
LCMHGFIA_00019	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
LCMHGFIA_00020	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
LCMHGFIA_00021	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
LCMHGFIA_00022	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
LCMHGFIA_00023	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
LCMHGFIA_00024	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
LCMHGFIA_00025	CDS	486	skp		COG2825	Chaperone protein Skp
LCMHGFIA_00026	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
LCMHGFIA_00027	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
LCMHGFIA_00028	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
LCMHGFIA_00029	CDS	153				hypothetical protein
LCMHGFIA_00030	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
LCMHGFIA_00031	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
LCMHGFIA_00032	CDS	558	frr		COG0233	Ribosome-recycling factor
LCMHGFIA_00033	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
LCMHGFIA_00034	CDS	852	tsf		COG0264	Elongation factor Ts
LCMHGFIA_00035	misc_RNA	110				CssrA
LCMHGFIA_00036	CDS	726	rpsB		COG0052	30S ribosomal protein S2
LCMHGFIA_00037	misc_RNA	87				t44
LCMHGFIA_00038	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
LCMHGFIA_00039	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
LCMHGFIA_00040	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
LCMHGFIA_00041	CDS	387				hypothetical protein
LCMHGFIA_00042	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
LCMHGFIA_00043	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
LCMHGFIA_00044	misc_RNA	46				HtrA_thermometer
LCMHGFIA_00045	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
LCMHGFIA_00046	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
LCMHGFIA_00047	CDS	801	btuF		COG0614	Vitamin B12-binding protein
LCMHGFIA_00048	CDS	624				hypothetical protein
LCMHGFIA_00049	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
LCMHGFIA_00050	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
LCMHGFIA_00051	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LCMHGFIA_00052	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
LCMHGFIA_00053	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
LCMHGFIA_00054	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
LCMHGFIA_00055	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
LCMHGFIA_00056	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
LCMHGFIA_00057	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
LCMHGFIA_00058	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
LCMHGFIA_00059	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
LCMHGFIA_00060	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
LCMHGFIA_00061	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
LCMHGFIA_00062	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
LCMHGFIA_00063	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
