locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKJJBAGK_00001	rRNA	1417				16S ribosomal RNA
AKJJBAGK_00002	CDS	576	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
AKJJBAGK_00003	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AKJJBAGK_00004	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
AKJJBAGK_00005	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
AKJJBAGK_00006	CDS	405	rcsF			Outer membrane lipoprotein RcsF
AKJJBAGK_00007	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
AKJJBAGK_00008	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
AKJJBAGK_00009	CDS	825				hypothetical protein
AKJJBAGK_00010	misc_RNA	77				naRNA4
AKJJBAGK_00011	CDS	711	nlpE		COG3015	Lipoprotein NlpE
AKJJBAGK_00012	CDS	411	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
AKJJBAGK_00013	CDS	546	yaeQ		COG4681	putative protein YaeQ
AKJJBAGK_00014	CDS	201				hypothetical protein
AKJJBAGK_00015	CDS	261	rof		COG4568	Protein rof
AKJJBAGK_00016	CDS	1296	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
AKJJBAGK_00017	CDS	390				hypothetical protein
AKJJBAGK_00018	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
AKJJBAGK_00019	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
AKJJBAGK_00020	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
AKJJBAGK_00021	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
AKJJBAGK_00022	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
AKJJBAGK_00023	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
AKJJBAGK_00024	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
AKJJBAGK_00025	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
AKJJBAGK_00026	CDS	486	skp		COG2825	Chaperone protein Skp
AKJJBAGK_00027	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
AKJJBAGK_00028	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
AKJJBAGK_00029	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
AKJJBAGK_00030	CDS	153				hypothetical protein
AKJJBAGK_00031	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
AKJJBAGK_00032	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
AKJJBAGK_00033	CDS	558	frr		COG0233	Ribosome-recycling factor
AKJJBAGK_00034	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
AKJJBAGK_00035	CDS	852	tsf		COG0264	Elongation factor Ts
AKJJBAGK_00036	misc_RNA	110				CssrA
AKJJBAGK_00037	CDS	726	rpsB		COG0052	30S ribosomal protein S2
AKJJBAGK_00038	misc_RNA	87				t44
AKJJBAGK_00039	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
AKJJBAGK_00040	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
AKJJBAGK_00041	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
AKJJBAGK_00042	CDS	387				hypothetical protein
AKJJBAGK_00043	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
AKJJBAGK_00044	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
AKJJBAGK_00045	misc_RNA	46				HtrA_thermometer
AKJJBAGK_00046	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
AKJJBAGK_00047	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
AKJJBAGK_00048	CDS	801	btuF		COG0614	Vitamin B12-binding protein
AKJJBAGK_00049	CDS	624				hypothetical protein
AKJJBAGK_00050	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
AKJJBAGK_00051	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
AKJJBAGK_00052	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
AKJJBAGK_00053	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
AKJJBAGK_00054	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
AKJJBAGK_00055	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
AKJJBAGK_00056	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
AKJJBAGK_00057	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
AKJJBAGK_00058	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
AKJJBAGK_00059	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
AKJJBAGK_00060	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
AKJJBAGK_00061	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
AKJJBAGK_00062	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
AKJJBAGK_00063	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
AKJJBAGK_00064	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
AKJJBAGK_00065	CDS	597	yadN			putative fimbrial-like protein YadN
AKJJBAGK_00066	CDS	726	yadV_1			putative fimbrial chaperone YadV
AKJJBAGK_00067	CDS	2601	htrE		COG3188	Outer membrane usher protein HtrE
AKJJBAGK_00068	CDS	549	yadM			putative fimbrial-like protein YadM
AKJJBAGK_00069	CDS	606	yadL			putative fimbrial-like protein YadL
AKJJBAGK_00070	CDS	591	yadK			putative fimbrial-like protein YadK
AKJJBAGK_00071	CDS	1110				hypothetical protein
AKJJBAGK_00072	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
AKJJBAGK_00073	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
AKJJBAGK_00074	CDS	897				ISNCY family transposase ISRor2
AKJJBAGK_00075	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
AKJJBAGK_00076	CDS	1230				hypothetical protein
AKJJBAGK_00077	CDS	441				hypothetical protein
AKJJBAGK_00078	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
AKJJBAGK_00079	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
AKJJBAGK_00080	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
AKJJBAGK_00081	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
AKJJBAGK_00082	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
AKJJBAGK_00083	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
AKJJBAGK_00084	CDS	309				hypothetical protein
AKJJBAGK_00085	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
AKJJBAGK_00086	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
AKJJBAGK_00087	CDS	363				hypothetical protein
AKJJBAGK_00088	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
AKJJBAGK_00089	CDS	1854				hypothetical protein
AKJJBAGK_00090	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AKJJBAGK_00091	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
AKJJBAGK_00092	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
AKJJBAGK_00093	misc_RNA	114				tp2
AKJJBAGK_00094	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
AKJJBAGK_00095	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
AKJJBAGK_00096	CDS	855	ampE		COG3725	Protein AmpE
AKJJBAGK_00097	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
AKJJBAGK_00098	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
AKJJBAGK_00099	CDS	441				hypothetical protein
AKJJBAGK_00100	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
AKJJBAGK_00101	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
AKJJBAGK_00102	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
AKJJBAGK_00103	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
AKJJBAGK_00104	CDS	744	zapD		COG4582	Cell division protein ZapD
AKJJBAGK_00105	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
AKJJBAGK_00106	misc_RNA	78				naRNA4
AKJJBAGK_00107	CDS	399	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
AKJJBAGK_00108	misc_RNA	70				STnc40
AKJJBAGK_00109	CDS	2706	secA		COG0653	Protein translocase subunit SecA
AKJJBAGK_00110	CDS	486	secM			Secretion monitor
AKJJBAGK_00111	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
AKJJBAGK_00112	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
AKJJBAGK_00113	misc_RNA	90				PssrA
AKJJBAGK_00114	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
AKJJBAGK_00115	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
AKJJBAGK_00116	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
AKJJBAGK_00117	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
AKJJBAGK_00118	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
AKJJBAGK_00119	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
AKJJBAGK_00120	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
AKJJBAGK_00121	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
AKJJBAGK_00122	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
AKJJBAGK_00123	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
AKJJBAGK_00124	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
AKJJBAGK_00125	CDS	366	ftsL		COG3116	Cell division protein FtsL
AKJJBAGK_00126	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
AKJJBAGK_00127	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
AKJJBAGK_00128	CDS	1005	cra		COG1609	Catabolite repressor/activator
AKJJBAGK_00129	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
AKJJBAGK_00130	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
AKJJBAGK_00131	CDS	945	leuO			HTH-type transcriptional regulator LeuO
AKJJBAGK_00132	misc_RNA	150				Leu_leader
AKJJBAGK_00133	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
AKJJBAGK_00134	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
AKJJBAGK_00135	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
AKJJBAGK_00136	CDS	333	leuD_1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
AKJJBAGK_00137	CDS	243	leuD_2	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
AKJJBAGK_00138	misc_RNA	227				SgrS
AKJJBAGK_00139	CDS	1659	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
AKJJBAGK_00140	CDS	108				hypothetical protein
AKJJBAGK_00141	CDS	570				hypothetical protein
AKJJBAGK_00142	misc_RNA	100				TPP
AKJJBAGK_00143	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
AKJJBAGK_00144	CDS	1611				hypothetical protein
AKJJBAGK_00145	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
AKJJBAGK_00146	CDS	765	yabI		COG0586	Inner membrane protein YabI
AKJJBAGK_00147	CDS	879	araC			Arabinose operon regulatory protein
AKJJBAGK_00148	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
AKJJBAGK_00149	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
AKJJBAGK_00150	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
AKJJBAGK_00151	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
AKJJBAGK_00152	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
AKJJBAGK_00153	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
AKJJBAGK_00154	CDS	738				hypothetical protein
AKJJBAGK_00155	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
AKJJBAGK_00156	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
AKJJBAGK_00157	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
AKJJBAGK_00158	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
